belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5,recall_at_10
0,0,0,0,0,0,0.0,0.0
0,0,0,0,0,1,0.38484848484848483,0.49696969696969695
0,0,0,0,0,2,0.38181818181818183,0.5
0,0,0,0,0,3,0.38181818181818183,0.49393939393939396
0,0,0,0,0,4,0.39090909090909093,0.49393939393939396
0,0,0,0,0,5,0.3878787878787879,0.49696969696969695
0,0,0,0,0,6,0.39090909090909093,0.49393939393939396
0,0,0,0,0,7,0.403030303030303,0.49393939393939396
0,0,0,0,0,8,0.3787878787878788,0.49696969696969695
0,0,0,0,0,9,0.3696969696969697,0.49393939393939396
0,0,0,0,1,0,0.45454545454545453,0.5363636363636364
0,0,0,0,1,1,0.4303030303030303,0.5303030303030303
0,0,0,0,1,2,0.4303030303030303,0.5333333333333333
0,0,0,0,1,3,0.4393939393939394,0.5333333333333333
0,0,0,0,1,4,0.44242424242424244,0.5303030303030303
0,0,0,0,1,5,0.44242424242424244,0.5333333333333333
0,0,0,0,1,6,0.42424242424242425,0.5303030303030303
0,0,0,0,1,7,0.4212121212121212,0.5303030303030303
0,0,0,0,1,8,0.4212121212121212,0.5303030303030303
0,0,0,0,1,9,0.42424242424242425,0.5303030303030303
0,0,0,0,2,0,0.45454545454545453,0.5363636363636364
0,0,0,0,2,1,0.4212121212121212,0.5303030303030303
0,0,0,0,2,2,0.42424242424242425,0.5303030303030303
0,0,0,0,2,3,0.42424242424242425,0.5303030303030303
0,0,0,0,2,4,0.42424242424242425,0.5303030303030303
0,0,0,0,2,5,0.42424242424242425,0.5303030303030303
0,0,0,0,2,6,0.42424242424242425,0.5303030303030303
0,0,0,0,2,7,0.42424242424242425,0.5303030303030303
0,0,0,0,2,8,0.42727272727272725,0.5303030303030303
0,0,0,0,2,9,0.42424242424242425,0.5303030303030303
0,0,0,0,3,0,0.4575757575757576,0.5363636363636364
0,0,0,0,3,1,0.42424242424242425,0.5303030303030303
0,0,0,0,3,2,0.42424242424242425,0.5303030303030303
0,0,0,0,3,3,0.42424242424242425,0.5303030303030303
0,0,0,0,3,4,0.42424242424242425,0.5303030303030303
0,0,0,0,3,5,0.42424242424242425,0.5303030303030303
0,0,0,0,3,6,0.42424242424242425,0.5303030303030303
0,0,0,0,3,7,0.42424242424242425,0.5303030303030303
0,0,0,0,3,8,0.42424242424242425,0.5303030303030303
0,0,0,0,3,9,0.4212121212121212,0.5303030303030303
0,0,0,0,4,0,0.4575757575757576,0.5363636363636364
0,0,0,0,4,1,0.42424242424242425,0.5303030303030303
0,0,0,0,4,2,0.42424242424242425,0.5303030303030303
0,0,0,0,4,3,0.42424242424242425,0.5303030303030303
0,0,0,0,4,4,0.42424242424242425,0.5303030303030303
0,0,0,0,4,5,0.42424242424242425,0.5303030303030303
0,0,0,0,4,6,0.42424242424242425,0.5303030303030303
0,0,0,0,4,7,0.42424242424242425,0.5303030303030303
0,0,0,0,4,8,0.42424242424242425,0.5303030303030303
0,0,0,0,4,9,0.42424242424242425,0.5303030303030303
0,0,0,0,5,0,0.4575757575757576,0.5363636363636364
0,0,0,0,5,1,0.4212121212121212,0.5303030303030303
0,0,0,0,5,2,0.42424242424242425,0.5303030303030303
0,0,0,0,5,3,0.42424242424242425,0.5303030303030303
0,0,0,0,5,4,0.42424242424242425,0.5303030303030303
0,0,0,0,5,5,0.42424242424242425,0.5303030303030303
0,0,0,0,5,6,0.42424242424242425,0.5303030303030303
0,0,0,0,5,7,0.42424242424242425,0.5303030303030303
0,0,0,0,5,8,0.4212121212121212,0.5303030303030303
0,0,0,0,5,9,0.4212121212121212,0.5303030303030303
0,0,0,0,6,0,0.4575757575757576,0.5363636363636364
0,0,0,0,6,1,0.42424242424242425,0.5303030303030303
